subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
23,ISRSL0_BM3D,0.077,0.3,5.0,31.35492208147866,0.18269354932935275,0.8794358892968994
23,SL0,0.077,0.3,5.0,28.400218552858586,0.2689279968591956,0.7297821420102086
23,Zero-filled,,,,28.272343595351398,0.2689722357723986,0.7283862039728483
24,ISRSL0_wiener,0.077,0.3,5.0,28.01211092523428,0.21642523436104713,0.8436234543287039
24,ISRSL0_BM3D,0.077,0.3,5.0,27.30956637958776,0.17967295191285854,0.7608068620612428
24,SL0,0.077,0.3,5.0,25.372619697595415,0.25802930570616606,0.6341293276517103
24,Zero-filled,,,,25.290566296000684,0.2581277729911612,0.6327335795627115
25,ISRSL0_wiener,0.077,0.3,5.0,32.942374129187655,0.16798637071075875,0.9057875862162724
25,ISRSL0_BM3D,0.077,0.3,5.0,32.23089254198106,0.13878165576216542,0.8637358874038966
25,SL0,0.077,0.3,5.0,28.009551022908138,0.1959764972976894,0.7268338004459978
25,Zero-filled,,,,27.92014659180221,0.196023551091718,0.7258062792319379
26,ISRSL0_wiener,0.077,0.3,5.0,30.56260383888153,0.2678128076536899,0.8507547388276322
26,ISRSL0_BM3D,0.077,0.3,5.0,29.723778196992168,0.21518638151253333,0.7827045519938526
26,SL0,0.077,0.3,5.0,27.425094954140228,0.30511522586816053,0.660445844842956
26,Zero-filled,,,,27.368767870606142,0.3051510638116527,0.6595119376885862
27,ISRSL0_wiener,0.077,0.3,5.0,28.548853877429025,0.2019791124985699,0.8493652606790641
27,ISRSL0_BM3D,0.077,0.3,5.0,27.472233925257008,0.1580194811611467,0.7775387957127653
27,SL0,0.077,0.3,5.0,25.370207895045528,0.23231339840128268,0.6448327985550224
27,Zero-filled,,,,25.294148456559704,0.23241278987845976,0.6435334725691071
28,ISRSL0_wiener,0.077,0.3,5.0,30.815010538911793,0.18124079304022406,0.884011123148053
28,ISRSL0_BM3D,0.077,0.3,5.0,28.445550813740915,0.14749176885634643,0.8022714681415064
28,SL0,0.077,0.3,5.0,23.601808060017525,0.2362745700341521,0.6248785015049682
28,Zero-filled,,,,23.529106236525898,0.23640450613788033,0.6233588174019237
29,ISRSL0_wiener,0.077,0.3,5.0,23.26602896057084,0.25546948990586854,0.7781829927020101
29,ISRSL0_BM3D,0.077,0.3,5.0,22.884672598857115,0.22012942640978364,0.7482012468997692
29,SL0,0.077,0.3,5.0,20.747609487534433,0.3003678344350305,0.6152307372249327
29,Zero-filled,,,,20.64115835340705,0.30058509660135957,0.613142369894805
30,ISRSL0_wiener,0.077,0.3,5.0,26.622624220689232,0.29649696138945913,0.7792287397048666
30,ISRSL0_BM3D,0.077,0.3,5.0,26.586890387507612,0.25589444786807175,0.7516070814514507
30,SL0,0.077,0.3,5.0,24.258914155470997,0.34023314007598,0.6324802754605957
30,Zero-filled,,,,24.15336417267809,0.3403532357931615,0.6309944374422899
31,ISRSL0_wiener,0.077,0.3,5.0,24.67684917625824,0.3334218662474741,0.7555384101919972
31,ISRSL0_BM3D,0.077,0.3,5.0,24.647382879723295,0.2896551257371014,0.7246768479925186
31,SL0,0.077,0.3,5.0,22.61870780811872,0.3863024816515775,0.5968759011563298
31,Zero-filled,,,,22.499582058806823,0.3864893380368781,0.5950449457364809
32,ISRSL0_wiener,0.077,0.3,5.0,30.401253775942664,0.2660380830355062,0.8326966609407329
32,ISRSL0_BM3D,0.077,0.3,5.0,28.723269082395575,0.2383621784478448,0.8100468885637995
32,SL0,0.077,0.3,5.0,27.369669623710106,0.3070331755236953,0.6960569297334888
32,Zero-filled,,,,27.26915903472956,0.30709512529579475,0.6948349112958401
33,ISRSL0_wiener,0.077,0.3,5.0,24.435647913766104,0.2848032265102259,0.7762027962607111
33,ISRSL0_BM3D,0.077,0.3,5.0,23.87168844760387,0.2484507476530429,0.7499006447257174
33,SL0,0.077,0.3,5.0,21.836286312530923,0.31441921920294513,0.6245784315174505
33,Zero-filled,,,,21.718153805603716,0.3146169792757693,0.6226959384626304
34,ISRSL0_wiener,0.077,0.3,5.0,27.493516586508996,0.2921763416453193,0.8177498883632077
34,ISRSL0_BM3D,0.077,0.3,5.0,27.561221199902462,0.2580996322742076,0.790474513904149
34,SL0,0.077,0.3,5.0,23.553067019114927,0.32849258148530475,0.6467345781406691
