subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
20,ISRSL0_wiener,0.077,0.3,5.0,26.98715398144145,0.3009412547038876,0.7395273677159984
20,ISRSL0_BM3D,0.077,0.3,5.0,27.155573037715808,0.285454718609241,0.7431140059953636
20,SL0,0.077,0.3,5.0,23.082037100985392,0.2991372884712079,0.6402385598752945
20,Zero-filled,,,,22.255585806128106,0.29936222488542386,0.6329743844632669
21,ISRSL0_wiener,0.077,0.3,5.0,30.826631865041,0.25235921443494796,0.7853634612787727
21,ISRSL0_BM3D,0.077,0.3,5.0,26.771577855723578,0.23703620743735918,0.8042214257845433
21,SL0,0.077,0.3,5.0,26.518293977379717,0.2431636264674958,0.7356616816118302
21,Zero-filled,,,,25.683470164982584,0.24326023441670674,0.7319916423750605
22,ISRSL0_wiener,0.077,0.3,5.0,26.320342745674857,0.3535972566166121,0.7161593612817719
22,ISRSL0_BM3D,0.077,0.3,5.0,23.972175477228774,0.3361064128694544,0.692083250215008
22,SL0,0.077,0.3,5.0,22.567725328333637,0.3544576293822398,0.5983243123094357
22,Zero-filled,,,,22.148979362506417,0.35459285598997553,0.5951979643415627
23,ISRSL0_wiener,0.077,0.3,5.0,28.315949950661846,0.33874309903164235,0.718409333992747
23,ISRSL0_BM3D,0.077,0.3,5.0,23.56407474163987,0.32568345209206523,0.6695932950350287
23,SL0,0.077,0.3,5.0,19.503289086961132,0.340513198220063,0.5559846819207471
23,Zero-filled,,,,18.47512962874249,0.34120915932705914,0.5415355596884674
24,ISRSL0_wiener,0.077,0.3,5.0,25.304071182704586,0.30493643024356193,0.7395133324005754
24,ISRSL0_BM3D,0.077,0.3,5.0,22.71013658899853,0.28803337060242673,0.7247411171123058
24,SL0,0.077,0.3,5.0,20.751003757820364,0.2995030117878704,0.6208067833263525
24,Zero-filled,,,,19.754129975126414,0.30002982782262366,0.6074192629227156
25,ISRSL0_wiener,0.077,0.3,5.0,27.833601872926515,0.3036883507419606,0.7099214720396941
25,ISRSL0_BM3D,0.077,0.3,5.0,27.201154523778325,0.287692238856051,0.7051470148638732
25,SL0,0.077,0.3,5.0,25.886671162230993,0.2966943394888699,0.6368662852741765
25,Zero-filled,,,,25.648646330175644,0.29673673271785145,0.6353326015215459
26,ISRSL0_wiener,0.077,0.3,5.0,27.397615254728848,0.23762953657141503,0.7745021361074185
26,ISRSL0_BM3D,0.077,0.3,5.0,25.13487268152915,0.22095446723209422,0.7753183325844175
26,SL0,0.077,0.3,5.0,23.78978188165908,0.2289907691906282,0.6907926146272274
26,Zero-filled,,,,23.37586378807696,0.22909087154452662,0.6880145220164707
27,ISRSL0_wiener,0.077,0.3,5.0,26.851837815324103,0.35775015595700105,0.7004706926886406
27,ISRSL0_BM3D,0.077,0.3,5.0,24.651513037772965,0.34221734329803466,0.6908326023064248
27,SL0,0.077,0.3,5.0,23.202084613689276,0.3494147611613279,0.6234032109469125
27,Zero-filled,,,,22.296968623358154,0.3496474079793736,0.6168157786345387
28,ISRSL0_wiener,0.077,0.3,5.0,25.054338660905827,0.2641531895350375,0.778721363149884
28,ISRSL0_BM3D,0.077,0.3,5.0,23.745599192055646,0.2481663210998479,0.7695430055826136
28,SL0,0.077,0.3,5.0,24.498186321799118,0.2604085966890532,0.6932089194043324
28,Zero-filled,,,,23.406437141319078,0.2605967012007862,0.6860795545750863
29,ISRSL0_wiener,0.077,0.3,5.0,28.91566208506965,0.18877831781346535,0.7923699710057541
